gene	KO	pathway	description
Ag_13989	K00641	map00270	Cysteine and methionine metabolism
Ag_13989	K00641	map00920	Sulfur metabolism
Ag_13989	K00641	map01100	Metabolic pathways
Ag_13989	K00641	map01110	Biosynthesis of secondary metabolites
Ag_13989	K00641	map01230	Biosynthesis of amino acids
Ag_14013	K01868	map00970	Aminoacyl-tRNA biosynthesis
Ag_14014	K00641	map00270	Cysteine and methionine metabolism
Ag_14014	K00641	map00920	Sulfur metabolism
Ag_14014	K00641	map01100	Metabolic pathways
Ag_14014	K00641	map01110	Biosynthesis of secondary metabolites
Ag_14014	K00641	map01230	Biosynthesis of amino acids
Ag_14033	K02969	map03010	Ribosome
Ag_14038	K02979	map03010	Ribosome
Ag_14040	K22539	map00040	Pentose and glucuronate interconversions
Ag_14040	K22539	map01100	Metabolic pathways
Ag_14042	K18123	map00330	Arginine and proline metabolism
Ag_14042	K18123	map00630	Glyoxylate and dicarboxylate metabolism
Ag_14042	K18123	map01100	Metabolic pathways
Ag_14050	K01705	map00300	Lysine biosynthesis
Ag_14050	K01705	map01100	Metabolic pathways
Ag_14050	K01705	map01110	Biosynthesis of secondary metabolites
Ag_14050	K01705	map01210	2-Oxocarboxylic acid metabolism
Ag_14050	K01705	map01230	Biosynthesis of amino acids
Ag_14051	K00474	map00310	Lysine degradation
Ag_14051	K00474	map01100	Metabolic pathways
Ag_14054	K00053	map00290	Valine, leucine and isoleucine biosynthesis
Ag_14054	K00053	map00770	Pantothenate and CoA biosynthesis
Ag_14054	K00053	map01100	Metabolic pathways
Ag_14054	K00053	map01110	Biosynthesis of secondary metabolites
Ag_14054	K00053	map01210	2-Oxocarboxylic acid metabolism
Ag_14054	K00053	map01230	Biosynthesis of amino acids
Ag_14058	K19562	map00780	Biotin metabolism
Ag_14058	K19562	map01100	Metabolic pathways
Ag_14058	K19562	map01240	Biosynthesis of cofactors
Ag_14060	K00817	map00340	Histidine metabolism
Ag_14060	K00817	map00350	Tyrosine metabolism
Ag_14060	K00817	map00360	Phenylalanine metabolism
Ag_14060	K00817	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
Ag_14060	K00817	map01100	Metabolic pathways
Ag_14060	K00817	map01110	Biosynthesis of secondary metabolites
Ag_14060	K00817	map01230	Biosynthesis of amino acids
Ag_14061	K00914	map00562	Inositol phosphate metabolism
Ag_14061	K00914	map01100	Metabolic pathways
Ag_14061	K00914	map04070	Phosphatidylinositol signaling system
Ag_14061	K00914	map04136	Autophagy - other
Ag_14061	K00914	map04138	Autophagy - yeast
Ag_14061	K00914	map04145	Phagosome
Ag_14065	K03357	map04111	Cell cycle - yeast
Ag_14065	K03357	map04113	Meiosis - yeast
Ag_14065	K03357	map04120	Ubiquitin mediated proteolysis
Ag_14082	K12345	map00510	N-Glycan biosynthesis
Ag_14083	K12659	map00220	Arginine biosynthesis
Ag_14083	K12659	map01100	Metabolic pathways
Ag_14083	K12659	map01110	Biosynthesis of secondary metabolites
Ag_14083	K12659	map01210	2-Oxocarboxylic acid metabolism
Ag_14083	K12659	map01230	Biosynthesis of amino acids
Ag_14086	K02257	map00190	Oxidative phosphorylation
Ag_14086	K02257	map00860	Porphyrin and chlorophyll metabolism
Ag_14086	K02257	map01100	Metabolic pathways
Ag_14086	K02257	map01110	Biosynthesis of secondary metabolites
Ag_14086	K02257	map01240	Biosynthesis of cofactors
Ag_14088	K11093	map03040	Spliceosome
Ag_14089	K02646	map04111	Cell cycle - yeast
Ag_14092	K12817	map03040	Spliceosome
Ag_14093	K02267	map00190	Oxidative phosphorylation
Ag_14093	K02267	map01100	Metabolic pathways
Ag_14094	K00387	map00920	Sulfur metabolism
Ag_14094	K00387	map01100	Metabolic pathways
Ag_14099	K00551	map00564	Glycerophospholipid metabolism
Ag_14099	K00551	map01100	Metabolic pathways
Ag_14099	K00551	map01110	Biosynthesis of secondary metabolites
Ag_14107	K17879	map04146	Peroxisome
Ag_14110	K12823	map03040	Spliceosome
Ag_14113	K03258	map03013	RNA transport
Ag_14114	K01647	map00020	Citrate cycle (TCA cycle)
Ag_14114	K01647	map00630	Glyoxylate and dicarboxylate metabolism
Ag_14114	K01647	map01100	Metabolic pathways
Ag_14114	K01647	map01110	Biosynthesis of secondary metabolites
Ag_14114	K01647	map01200	Carbon metabolism
Ag_14114	K01647	map01210	2-Oxocarboxylic acid metabolism
Ag_14114	K01647	map01230	Biosynthesis of amino acids
Ag_14116	K11600	map03018	RNA degradation
Ag_14117	K00763	map00760	Nicotinate and nicotinamide metabolism
Ag_14117	K00763	map01100	Metabolic pathways
Ag_14117	K00763	map01240	Biosynthesis of cofactors
Ag_14124	K04711	map00600	Sphingolipid metabolism
Ag_14124	K04711	map01100	Metabolic pathways
Ag_14133	K01183	map00520	Amino sugar and nucleotide sugar metabolism
Ag_14133	K01183	map01100	Metabolic pathways
Ag_14139	K12345	map00510	N-Glycan biosynthesis
Ag_14152	K07827	map04113	Meiosis - yeast
Ag_14152	K07827	map04138	Autophagy - yeast
Ag_14158	K07517	map00071	Fatty acid degradation
Ag_14159	K03966	map00190	Oxidative phosphorylation
Ag_14159	K03966	map01100	Metabolic pathways
Ag_14161	K03966	map00190	Oxidative phosphorylation
Ag_14161	K03966	map01100	Metabolic pathways
Ag_14170	K13249	map04141	Protein processing in endoplasmic reticulum
Ag_14173	K03013	map03020	RNA polymerase
Ag_14175	K01760	map00270	Cysteine and methionine metabolism
Ag_14175	K01760	map00450	Selenocompound metabolism
Ag_14175	K01760	map01100	Metabolic pathways
Ag_14175	K01760	map01110	Biosynthesis of secondary metabolites
Ag_14175	K01760	map01230	Biosynthesis of amino acids
Ag_14177	K01655	map00300	Lysine biosynthesis
Ag_14177	K01655	map00620	Pyruvate metabolism
Ag_14177	K01655	map01100	Metabolic pathways
Ag_14177	K01655	map01110	Biosynthesis of secondary metabolites
Ag_14177	K01655	map01210	2-Oxocarboxylic acid metabolism
Ag_14177	K01655	map01230	Biosynthesis of amino acids
Ag_14188	K10843	map03022	Basal transcription factors
Ag_14188	K10843	map03420	Nucleotide excision repair
Ag_14190	K03648	map03410	Base excision repair
Ag_14207	K12877	map03013	RNA transport
Ag_14207	K12877	map03015	mRNA surveillance pathway
Ag_14207	K12877	map03040	Spliceosome
Ag_14259	K03942	map00190	Oxidative phosphorylation
Ag_14259	K03942	map01100	Metabolic pathways
Ag_14260	K13344	map04146	Peroxisome
Ag_14262	K02729	map03050	Proteasome
Ag_14267	K00693	map00500	Starch and sucrose metabolism
Ag_14267	K00693	map01100	Metabolic pathways
Ag_14267	K00693	map01110	Biosynthesis of secondary metabolites
Ag_14282	K00480	map01100	Metabolic pathways
Ag_14294	K00761	map00240	Pyrimidine metabolism
Ag_14294	K00761	map01100	Metabolic pathways
Ag_14316	K22539	map00040	Pentose and glucuronate interconversions
Ag_14316	K22539	map01100	Metabolic pathways
Ag_14323	K08139	map04113	Meiosis - yeast
Ag_14328	K07375	map04145	Phagosome
Ag_14332	K11541	map00240	Pyrimidine metabolism
Ag_14332	K11541	map00250	Alanine, aspartate and glutamate metabolism
Ag_14332	K11541	map01100	Metabolic pathways
Ag_14332	K11541	map01240	Biosynthesis of cofactors
Ag_14352	K00863	map00051	Fructose and mannose metabolism
Ag_14352	K00863	map00561	Glycerolipid metabolism
Ag_14352	K00863	map00680	Methane metabolism
Ag_14352	K00863	map01100	Metabolic pathways
Ag_14352	K00863	map01200	Carbon metabolism
Ag_14360	K01624	map00010	Glycolysis / Gluconeogenesis
Ag_14360	K01624	map00030	Pentose phosphate pathway
Ag_14360	K01624	map00051	Fructose and mannose metabolism
Ag_14360	K01624	map00680	Methane metabolism
Ag_14360	K01624	map01100	Metabolic pathways
Ag_14360	K01624	map01110	Biosynthesis of secondary metabolites
Ag_14360	K01624	map01200	Carbon metabolism
Ag_14360	K01624	map01230	Biosynthesis of amino acids
Ag_14373	K07750	map00100	Steroid biosynthesis
Ag_14373	K07750	map01100	Metabolic pathways
Ag_14373	K07750	map01110	Biosynthesis of secondary metabolites
Ag_14391	K15296	map04138	Autophagy - yeast
Ag_14524	K14553	map03008	Ribosome biogenesis in eukaryotes
Ag_14559	K12196	map04144	Endocytosis
Ag_14574	K10589	map04120	Ubiquitin mediated proteolysis
Ag_14578	K02885	map03010	Ribosome
Ag_14579	K00971	map00051	Fructose and mannose metabolism
Ag_14579	K00971	map00520	Amino sugar and nucleotide sugar metabolism
Ag_14579	K00971	map01100	Metabolic pathways
Ag_14579	K00971	map01110	Biosynthesis of secondary metabolites
Ag_14592	K00601	map00230	Purine metabolism
Ag_14592	K00601	map00670	One carbon pool by folate
Ag_14592	K00601	map01100	Metabolic pathways
Ag_14592	K00601	map01110	Biosynthesis of secondary metabolites
Ag_14601	K12182	map04144	Endocytosis
Ag_14601	K12182	map04145	Phagosome
Ag_14602	K03006	map03020	RNA polymerase
Ag_14603	K03809	map00130	Ubiquinone and other terpenoid-quinone biosynthesis
Ag_14603	K03809	map01100	Metabolic pathways
Ag_14603	K03809	map01110	Biosynthesis of secondary metabolites
Ag_14603	K03809	map01240	Biosynthesis of cofactors
Ag_14613	K12600	map03018	RNA degradation
Ag_14721	K00698	map00520	Amino sugar and nucleotide sugar metabolism
Ag_14721	K00698	map01100	Metabolic pathways
Ag_14761	K00275	map00750	Vitamin B6 metabolism
Ag_14761	K00275	map01100	Metabolic pathways
Ag_14761	K00275	map01240	Biosynthesis of cofactors
Ag_14851	K13953	map00010	Glycolysis / Gluconeogenesis
Ag_14851	K13953	map00071	Fatty acid degradation
Ag_14851	K13953	map00350	Tyrosine metabolism
Ag_14851	K13953	map00620	Pyruvate metabolism
Ag_14851	K13953	map01100	Metabolic pathways
Ag_14851	K13953	map01110	Biosynthesis of secondary metabolites
Ag_14856	K02866	map03010	Ribosome
Ag_14868	K04627	map04011	MAPK signaling pathway - yeast
Ag_14873	K07407	map00052	Galactose metabolism
Ag_14873	K07407	map00561	Glycerolipid metabolism
Ag_14873	K07407	map00600	Sphingolipid metabolism
Ag_14873	K07407	map00603	Glycosphingolipid biosynthesis - globo and isoglobo series
Ag_14873	K07407	map01100	Metabolic pathways
Ag_14874	K06666	map04011	MAPK signaling pathway - yeast
Ag_14874	K06666	map04111	Cell cycle - yeast
Ag_14875	K05290	map00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
Ag_14875	K05290	map01100	Metabolic pathways
Ag_14877	K06666	map04011	MAPK signaling pathway - yeast
Ag_14877	K06666	map04111	Cell cycle - yeast
Ag_14885	K01893	map00970	Aminoacyl-tRNA biosynthesis
Ag_14886	K11087	map03040	Spliceosome
Ag_14888	K03009	map03020	RNA polymerase
Ag_14893	K18334	map00051	Fructose and mannose metabolism
Ag_14893	K18334	map01100	Metabolic pathways
Ag_14895	K14007	map04141	Protein processing in endoplasmic reticulum
Ag_14906	K17900	map00561	Glycerolipid metabolism
Ag_14906	K17900	map01100	Metabolic pathways
Ag_14906	K17900	map04138	Autophagy - yeast
Ag_14932	K21141	map04138	Autophagy - yeast
Ag_14947	K09562	map04141	Protein processing in endoplasmic reticulum
Ag_14953	K03022	map03020	RNA polymerase
Ag_14960	K10258	map00062	Fatty acid elongation
Ag_14960	K10258	map01040	Biosynthesis of unsaturated fatty acids
Ag_14960	K10258	map01100	Metabolic pathways
Ag_14960	K10258	map01110	Biosynthesis of secondary metabolites
Ag_14960	K10258	map01212	Fatty acid metabolism
Ag_15038	K03469	map03030	DNA replication
Ag_15056	K11427	map00310	Lysine degradation
Ag_15056	K11427	map01100	Metabolic pathways
Ag_15061	K01051	map00040	Pentose and glucuronate interconversions
Ag_15061	K01051	map01100	Metabolic pathways
Ag_15066	K02728	map03050	Proteasome
Ag_15067	K00851	map00030	Pentose phosphate pathway
Ag_15067	K00851	map01100	Metabolic pathways
Ag_15067	K00851	map01110	Biosynthesis of secondary metabolites
Ag_15067	K00851	map01200	Carbon metabolism
Ag_15069	K01638	map00620	Pyruvate metabolism
Ag_15069	K01638	map00630	Glyoxylate and dicarboxylate metabolism
Ag_15069	K01638	map01100	Metabolic pathways
Ag_15069	K01638	map01110	Biosynthesis of secondary metabolites
Ag_15069	K01638	map01200	Carbon metabolism
Ag_15089	K03469	map03030	DNA replication
Ag_15095	K03469	map03030	DNA replication
Ag_15109	K03469	map03030	DNA replication
Ag_15126	K08507	map04130	SNARE interactions in vesicular transport
Ag_15128	K03165	map03440	Homologous recombination
Ag_15130	K12830	map03040	Spliceosome
Ag_15141	K03122	map03022	Basal transcription factors
Ag_15144	K01883	map00970	Aminoacyl-tRNA biosynthesis
Ag_15145	K08968	map00270	Cysteine and methionine metabolism
Ag_15160	K03661	map00190	Oxidative phosphorylation
Ag_15160	K03661	map01100	Metabolic pathways
Ag_15160	K03661	map04145	Phagosome
Ag_15166	K01907	map00280	Valine, leucine and isoleucine degradation
Ag_15166	K01907	map00650	Butanoate metabolism
Ag_15166	K01907	map01100	Metabolic pathways
Ag_15175	K12590	map03018	RNA degradation
Ag_15178	K01051	map00040	Pentose and glucuronate interconversions
Ag_15178	K01051	map01100	Metabolic pathways
Ag_15185	K03469	map03030	DNA replication
Ag_15213	K14154	map00730	Thiamine metabolism
Ag_15213	K14154	map01100	Metabolic pathways
Ag_15213	K14154	map01240	Biosynthesis of cofactors
Ag_15216	K06669	map04111	Cell cycle - yeast
Ag_15216	K06669	map04113	Meiosis - yeast
Ag_15221	K00477	map04146	Peroxisome
Ag_15223	K11236	map04011	MAPK signaling pathway - yeast
Ag_15234	K06123	map00564	Glycerophospholipid metabolism
Ag_15234	K06123	map00565	Ether lipid metabolism
Ag_15234	K06123	map01100	Metabolic pathways
Ag_15240	K03940	map00190	Oxidative phosphorylation
Ag_15240	K03940	map01100	Metabolic pathways
Ag_15247	K19704	map04011	MAPK signaling pathway - yeast
Ag_15248	K19704	map04011	MAPK signaling pathway - yeast
Ag_15255	K14557	map03008	Ribosome biogenesis in eukaryotes
Ag_15258	K02870	map03010	Ribosome
Ag_15259	K01183	map00520	Amino sugar and nucleotide sugar metabolism
Ag_15259	K01183	map01100	Metabolic pathways
Ag_15267	K02983	map03010	Ribosome
Ag_15268	K01653	map00290	Valine, leucine and isoleucine biosynthesis
Ag_15268	K01653	map00650	Butanoate metabolism
Ag_15268	K01653	map00660	C5-Branched dibasic acid metabolism
Ag_15268	K01653	map00770	Pantothenate and CoA biosynthesis
Ag_15268	K01653	map01100	Metabolic pathways
Ag_15268	K01653	map01110	Biosynthesis of secondary metabolites
Ag_15268	K01653	map01210	2-Oxocarboxylic acid metabolism
Ag_15268	K01653	map01230	Biosynthesis of amino acids
Ag_15269	K06276	map04011	MAPK signaling pathway - yeast
Ag_15290	K07151	map00510	N-Glycan biosynthesis
Ag_15290	K07151	map00513	Various types of N-glycan biosynthesis
Ag_15290	K07151	map01100	Metabolic pathways
Ag_15290	K07151	map04141	Protein processing in endoplasmic reticulum
Ag_15291	K10601	map04120	Ubiquitin mediated proteolysis
Ag_15291	K10601	map04141	Protein processing in endoplasmic reticulum
Ag_15294	K00858	map00760	Nicotinate and nicotinamide metabolism
Ag_15294	K00858	map01100	Metabolic pathways
Ag_15294	K00858	map01240	Biosynthesis of cofactors
Ag_15392	K04565	map04146	Peroxisome
Ag_15396	K00469	map00053	Ascorbate and aldarate metabolism
Ag_15396	K00469	map00562	Inositol phosphate metabolism
Ag_15396	K00469	map01100	Metabolic pathways
Ag_15459	K00469	map00053	Ascorbate and aldarate metabolism
Ag_15459	K00469	map00562	Inositol phosphate metabolism
Ag_15459	K00469	map01100	Metabolic pathways
Ag_15472	K03948	map00190	Oxidative phosphorylation
Ag_15472	K03948	map01100	Metabolic pathways
Ag_15534	K00059	map00061	Fatty acid biosynthesis
Ag_15534	K00059	map00780	Biotin metabolism
Ag_15534	K00059	map01100	Metabolic pathways
Ag_15534	K00059	map01110	Biosynthesis of secondary metabolites
Ag_15534	K00059	map01212	Fatty acid metabolism
Ag_15534	K00059	map01240	Biosynthesis of cofactors
Ag_15556	K09265	map04011	MAPK signaling pathway - yeast
Ag_15559	K00059	map00061	Fatty acid biosynthesis
Ag_15559	K00059	map00780	Biotin metabolism
Ag_15559	K00059	map01100	Metabolic pathways
Ag_15559	K00059	map01110	Biosynthesis of secondary metabolites
Ag_15559	K00059	map01212	Fatty acid metabolism
Ag_15559	K00059	map01240	Biosynthesis of cofactors
Ag_15575	K01885	map00860	Porphyrin and chlorophyll metabolism
Ag_15575	K01885	map00970	Aminoacyl-tRNA biosynthesis
Ag_15575	K01885	map01100	Metabolic pathways
Ag_15575	K01885	map01110	Biosynthesis of secondary metabolites
Ag_15575	K01885	map01240	Biosynthesis of cofactors
Ag_15582	K03027	map03020	RNA polymerase
Ag_15585	K12191	map04144	Endocytosis
Ag_15587	K05349	map00460	Cyanoamino acid metabolism
Ag_15587	K05349	map00500	Starch and sucrose metabolism
Ag_15587	K05349	map01100	Metabolic pathways
Ag_15587	K05349	map01110	Biosynthesis of secondary metabolites
Ag_15590	K13566	map00250	Alanine, aspartate and glutamate metabolism
Ag_15590	K13566	map01100	Metabolic pathways
Ag_15593	K00927	map00010	Glycolysis / Gluconeogenesis
Ag_15593	K00927	map01100	Metabolic pathways
Ag_15593	K00927	map01110	Biosynthesis of secondary metabolites
Ag_15593	K00927	map01200	Carbon metabolism
Ag_15593	K00927	map01230	Biosynthesis of amino acids
Ag_15596	K01515	map00230	Purine metabolism
Ag_15596	K01515	map01100	Metabolic pathways
Ag_15607	K18669	map04111	Cell cycle - yeast
Ag_15611	K03787	map00230	Purine metabolism
Ag_15611	K03787	map00240	Pyrimidine metabolism
Ag_15611	K03787	map00760	Nicotinate and nicotinamide metabolism
Ag_15611	K03787	map01100	Metabolic pathways
Ag_15611	K03787	map01110	Biosynthesis of secondary metabolites
Ag_15612	K03242	map03013	RNA transport
Ag_15614	K03678	map03018	RNA degradation
Ag_15616	K03353	map04111	Cell cycle - yeast
Ag_15616	K03353	map04113	Meiosis - yeast
Ag_15616	K03353	map04120	Ubiquitin mediated proteolysis
Ag_15617	K12849	map03040	Spliceosome
Ag_15618	K02876	map03010	Ribosome
Ag_15622	K10740	map03030	DNA replication
Ag_15622	K10740	map03420	Nucleotide excision repair
Ag_15622	K10740	map03430	Mismatch repair
Ag_15622	K10740	map03440	Homologous recombination
Ag_15646	K02144	map00190	Oxidative phosphorylation
Ag_15646	K02144	map01100	Metabolic pathways
Ag_15646	K02144	map04145	Phagosome
Ag_15650	K06688	map04120	Ubiquitin mediated proteolysis
Ag_15651	K12472	map04144	Endocytosis
Ag_15658	K12604	map03018	RNA degradation
Ag_15659	K02272	map00190	Oxidative phosphorylation
Ag_15659	K02272	map01100	Metabolic pathways
Ag_15668	K00791	map01100	Metabolic pathways
Ag_15668	K00791	map01110	Biosynthesis of secondary metabolites
Ag_15670	K02145	map00190	Oxidative phosphorylation
Ag_15670	K02145	map01100	Metabolic pathways
Ag_15670	K02145	map04145	Phagosome
Ag_15671	K03061	map03050	Proteasome
Ag_15675	K00227	map00100	Steroid biosynthesis
Ag_15675	K00227	map01100	Metabolic pathways
Ag_15675	K00227	map01110	Biosynthesis of secondary metabolites
Ag_15681	K01176	map00500	Starch and sucrose metabolism
Ag_15681	K01176	map01100	Metabolic pathways
Ag_15681	K01176	map01110	Biosynthesis of secondary metabolites
Ag_15711	K01810	map00010	Glycolysis / Gluconeogenesis
Ag_15711	K01810	map00030	Pentose phosphate pathway
Ag_15711	K01810	map00500	Starch and sucrose metabolism
Ag_15711	K01810	map00520	Amino sugar and nucleotide sugar metabolism
Ag_15711	K01810	map01100	Metabolic pathways
Ag_15711	K01810	map01110	Biosynthesis of secondary metabolites
Ag_15711	K01810	map01200	Carbon metabolism
Ag_15722	K00459	map00910	Nitrogen metabolism
Ag_15722	K00459	map01100	Metabolic pathways
Ag_15723	K01764	map00860	Porphyrin and chlorophyll metabolism
Ag_15729	K06215	map00750	Vitamin B6 metabolism
Ag_15729	K06215	map01100	Metabolic pathways
Ag_15729	K06215	map01240	Biosynthesis of cofactors
Ag_15735	K01069	map00620	Pyruvate metabolism
Ag_15735	K01069	map01100	Metabolic pathways
Ag_15737	K13431	map03060	Protein export
Ag_15740	K12867	map03040	Spliceosome
Ag_15753	K01897	map00061	Fatty acid biosynthesis
Ag_15753	K01897	map00071	Fatty acid degradation
Ag_15753	K01897	map01100	Metabolic pathways
Ag_15753	K01897	map01212	Fatty acid metabolism
Ag_15753	K01897	map04146	Peroxisome
Ag_15755	K02731	map03050	Proteasome
Ag_15757	K10842	map03022	Basal transcription factors
Ag_15757	K10842	map03420	Nucleotide excision repair
Ag_15764	K00020	map00280	Valine, leucine and isoleucine degradation
Ag_15764	K00020	map01100	Metabolic pathways
Ag_15765	K15542	map03015	mRNA surveillance pathway
Ag_15766	K18443	map04144	Endocytosis
Ag_15768	K01081	map00230	Purine metabolism
Ag_15768	K01081	map00240	Pyrimidine metabolism
Ag_15768	K01081	map00760	Nicotinate and nicotinamide metabolism
Ag_15768	K01081	map01100	Metabolic pathways
Ag_15768	K01081	map01110	Biosynthesis of secondary metabolites
Ag_15771	K03023	map03020	RNA polymerase
Ag_15943	K00254	map00240	Pyrimidine metabolism
Ag_15943	K00254	map01100	Metabolic pathways
Ag_15943	K00254	map01240	Biosynthesis of cofactors
Ag_15950	K01198	map00520	Amino sugar and nucleotide sugar metabolism
Ag_15950	K01198	map01100	Metabolic pathways
Ag_15953	K12862	map03040	Spliceosome
Ag_15965	K00101	map00620	Pyruvate metabolism
Ag_15965	K00101	map01100	Metabolic pathways
Ag_15978	K06902	map04138	Autophagy - yeast
Ag_15979	K06013	map00900	Terpenoid backbone biosynthesis
Ag_15979	K06013	map01110	Biosynthesis of secondary metabolites
Ag_15980	K15633	map00010	Glycolysis / Gluconeogenesis
Ag_15980	K15633	map00260	Glycine, serine and threonine metabolism
Ag_15980	K15633	map00680	Methane metabolism
Ag_15980	K15633	map01100	Metabolic pathways
Ag_15980	K15633	map01110	Biosynthesis of secondary metabolites
Ag_15980	K15633	map01200	Carbon metabolism
Ag_15980	K15633	map01230	Biosynthesis of amino acids
Ag_15985	K02607	map04111	Cell cycle - yeast
Ag_15985	K02607	map04113	Meiosis - yeast
Ag_15994	K01209	map00520	Amino sugar and nucleotide sugar metabolism
Ag_15994	K01209	map01100	Metabolic pathways
Ag_15998	K01209	map00520	Amino sugar and nucleotide sugar metabolism
Ag_15998	K01209	map01100	Metabolic pathways
Ag_16001	K03781	map00380	Tryptophan metabolism
Ag_16001	K03781	map00630	Glyoxylate and dicarboxylate metabolism
Ag_16001	K03781	map01100	Metabolic pathways
Ag_16001	K03781	map01110	Biosynthesis of secondary metabolites
Ag_16001	K03781	map01200	Carbon metabolism
Ag_16001	K03781	map04011	MAPK signaling pathway - yeast
Ag_16001	K03781	map04146	Peroxisome
Ag_16004	K14397	map03015	mRNA surveillance pathway
Ag_16010	K05275	map00750	Vitamin B6 metabolism
Ag_16010	K05275	map01100	Metabolic pathways
Ag_16015	K05275	map00750	Vitamin B6 metabolism
Ag_16015	K05275	map01100	Metabolic pathways
Ag_16018	K24137	map00480	Glutathione metabolism
Ag_16018	K24137	map01100	Metabolic pathways
Ag_16047	K17069	map00270	Cysteine and methionine metabolism
Ag_16047	K17069	map00920	Sulfur metabolism
Ag_16047	K17069	map01100	Metabolic pathways
Ag_16047	K17069	map01110	Biosynthesis of secondary metabolites
Ag_16047	K17069	map01200	Carbon metabolism
Ag_16047	K17069	map01230	Biosynthesis of amino acids
Ag_16050	K01740	map00270	Cysteine and methionine metabolism
Ag_16050	K01740	map01100	Metabolic pathways
Ag_16062	K05275	map00750	Vitamin B6 metabolism
Ag_16062	K05275	map01100	Metabolic pathways
Ag_16075	K01074	map00062	Fatty acid elongation
Ag_16075	K01074	map01100	Metabolic pathways
Ag_16075	K01074	map01212	Fatty acid metabolism
Ag_16094	K00505	map00350	Tyrosine metabolism
Ag_16094	K00505	map01100	Metabolic pathways
Ag_16094	K00505	map01110	Biosynthesis of secondary metabolites
Ag_16096	K03260	map03013	RNA transport
Ag_16098	K03260	map03013	RNA transport
Ag_16105	K03260	map03013	RNA transport
Ag_16107	K03260	map03013	RNA transport
Ag_16139	K00948	map00030	Pentose phosphate pathway
Ag_16139	K00948	map00230	Purine metabolism
Ag_16139	K00948	map01100	Metabolic pathways
Ag_16139	K00948	map01110	Biosynthesis of secondary metabolites
Ag_16139	K00948	map01200	Carbon metabolism
Ag_16139	K00948	map01230	Biosynthesis of amino acids
Ag_16149	K01239	map00230	Purine metabolism
Ag_16149	K01239	map00760	Nicotinate and nicotinamide metabolism
Ag_16149	K01239	map01100	Metabolic pathways
Ag_16151	K02179	map04111	Cell cycle - yeast
Ag_16156	K02684	map03030	DNA replication
Ag_16157	K01609	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
Ag_16157	K01609	map01100	Metabolic pathways
Ag_16157	K01609	map01110	Biosynthesis of secondary metabolites
Ag_16157	K01609	map01230	Biosynthesis of amino acids
Ag_16174	K01099	map00562	Inositol phosphate metabolism
Ag_16174	K01099	map01100	Metabolic pathways
Ag_16174	K01099	map04070	Phosphatidylinositol signaling system
Ag_16199	K00108	map00260	Glycine, serine and threonine metabolism
Ag_16199	K00108	map01100	Metabolic pathways
Ag_16202	K00606	map00770	Pantothenate and CoA biosynthesis
Ag_16202	K00606	map01100	Metabolic pathways
Ag_16202	K00606	map01110	Biosynthesis of secondary metabolites
Ag_16202	K00606	map01240	Biosynthesis of cofactors
Ag_16205	K14338	map00071	Fatty acid degradation
Ag_16205	K14338	map00380	Tryptophan metabolism
Ag_16215	K13354	map04146	Peroxisome
Ag_16216	K00074	map00360	Phenylalanine metabolism
Ag_16216	K00074	map00650	Butanoate metabolism
Ag_16216	K00074	map01100	Metabolic pathways
Ag_16216	K00074	map01200	Carbon metabolism
Ag_16222	K06123	map00564	Glycerophospholipid metabolism
Ag_16222	K06123	map00565	Ether lipid metabolism
Ag_16222	K06123	map01100	Metabolic pathways
Ag_16223	K07106	map00520	Amino sugar and nucleotide sugar metabolism
Ag_16223	K07106	map01100	Metabolic pathways
Ag_16228	K07130	map00380	Tryptophan metabolism
Ag_16228	K07130	map00630	Glyoxylate and dicarboxylate metabolism
Ag_16228	K07130	map01100	Metabolic pathways
Ag_16228	K07130	map01240	Biosynthesis of cofactors
Ag_16234	K07130	map00380	Tryptophan metabolism
Ag_16234	K07130	map00630	Glyoxylate and dicarboxylate metabolism
Ag_16234	K07130	map01100	Metabolic pathways
Ag_16234	K07130	map01240	Biosynthesis of cofactors
Ag_16240	K16839	map00230	Purine metabolism
Ag_16240	K16839	map01100	Metabolic pathways
Ag_16241	K07130	map00380	Tryptophan metabolism
Ag_16241	K07130	map00630	Glyoxylate and dicarboxylate metabolism
Ag_16241	K07130	map01100	Metabolic pathways
Ag_16241	K07130	map01240	Biosynthesis of cofactors
Ag_16254	K15631	map00790	Folate biosynthesis
Ag_16263	K00232	map00071	Fatty acid degradation
Ag_16263	K00232	map00410	beta-Alanine metabolism
Ag_16263	K00232	map00592	alpha-Linolenic acid metabolism
Ag_16263	K00232	map00640	Propanoate metabolism
Ag_16263	K00232	map01040	Biosynthesis of unsaturated fatty acids
Ag_16263	K00232	map01100	Metabolic pathways
Ag_16263	K00232	map01110	Biosynthesis of secondary metabolites
Ag_16263	K00232	map01200	Carbon metabolism
Ag_16263	K00232	map01212	Fatty acid metabolism
Ag_16263	K00232	map04146	Peroxisome
Ag_16273	K08139	map04113	Meiosis - yeast
Ag_16296	K00290	map00300	Lysine biosynthesis
Ag_16296	K00290	map00310	Lysine degradation
Ag_16296	K00290	map01100	Metabolic pathways
Ag_16296	K00290	map01110	Biosynthesis of secondary metabolites
Ag_16296	K00290	map01230	Biosynthesis of amino acids
